search_term,result_count_raw,result_count,result_datasets
race,"
      13 Results
        ",13,"Cash Balance for Candidate Controlled Committees - Board of Supervisors Race - November 6, 2012 Election, Total Contributions and Expenditures for Candidate Controlled Committees - Board of Supervisors Race - November 6, 2012 Election, Campaign Finance - Status of Voluntary Expenditure Ceiling VECs in November 3, 2015 Election, Campaign Finance - Status of Voluntary Expenditure Ceiling (VECs) in November 6, 2012 Election - Board of Education, Campaign Finance - Status of Voluntary Expenditure Ceiling (VECs) in November 6, 2012 Election - Community College Board, Campaign Finance - Status of Voluntary Expenditure Ceiling (VECs) in November 6, 2012 Election, Campaign Finance - Status Of Voluntary Expenditure Ceiling VECs In November 4, 2014 Election, Campaign Finance - Status Of Voluntary Expenditure Ceiling VECs in November 8, 2016 Election, Campaign Finance - Status of Voluntary Expenditure Ceiling (VECs) in November 5, 2013 Election, Campaign Finance - Status Of Voluntary Expenditure Ceiling VECs in November 8, 2016 Election"
rent,"
      7 Results
        ",7,"Petitions to the Rent Board, Appeals to the Rent Board, Annual Allowable Rent Increase for Units Under Rent Control, Buyout agreements, Eviction Notices, Count of Eviction Notices By Analysis Neighborhood and Year, Requests for Information Regarding Protected Status Related to Owner Move-In Evictions"
restaurant,"
      2 Results
        ",2,"Restaurant Scores, Food Inspections - LIVES Standard"
restaurants,"
      2 Results
        ",2,"Restaurant Scores, Food Inspections - LIVES Standard"
retail,"
      7 Results
        ",7,"San Francisco Development Pipeline 2013 Quarter 3, Historic Zoning Districts - 2003, Historic Zoning Districts - 2002, Historic Zoning Districts - 2007, Historic Zoning Districts - 2004, Land Use, Vehicle Miles Traveled Estimates from SF-CHAMP – 2012"
road,"
      3 Results
        ",3,"Highways in San Francisco, Census 2010: Tracts for San Francisco, Census 2010: Blocks for San Francisco"
roads,"
      3 Results
        ",3,"Highways in San Francisco, Census 2010: Tracts for San Francisco, Census 2010: Blocks for San Francisco"
salary,"
      17 Results
        ",17,"Salary Ranges by Job Classification, Employee Compensation, Lobbyist Activity - Activity Expenses, Full Time Employees By Job Classification, Spending And Revenue, Job Titles by Classification, Vendor Payments (Purchase Order Summary), Budget, Budget - FTE, Budget - FTE: Fiscal Year 2016"
school,"
      8 Results
        ",8,"Schools, Map of Schools, Schools Served by the SFMTA School Crossing Guard Program, Schools Participating in the Safe Routes to Schools Program, Schools served by 15 mph school zones, Street Intersections Served by the SFMTA School Crossing Guard Program, List of Historical Ballot Measures, Requests for Information Regarding Protected Status Related to Owner Move-In Evictions"
schools,"
      8 Results
        ",8,"Schools, Map of Schools, Schools Served by the SFMTA School Crossing Guard Program, Schools Participating in the Safe Routes to Schools Program, Schools served by 15 mph school zones, Street Intersections Served by the SFMTA School Crossing Guard Program, List of Historical Ballot Measures, Requests for Information Regarding Protected Status Related to Owner Move-In Evictions"
sewer,"
      2 Results
        ",2,"Beach Water Quality, Stormwater inlets, drains and catch basins"
sfmta,"
      35 Results
        ",35,"SFMTA routes and stops for March 2012, SFMTA-Enforced Temporary Tow Zones, SFMTA Transit Stop and Schedule Data (GTFS format)., Off-street parking lots and parking garages map, SFMTA Bikeway Network Point Features, Off-Street parking lots and parking garages, Public Transportation Stops and Routes, San Francisco, CA, SFMTA Bikeway Network, Metered motorcycle spaces, Parking"
sfo,"
      19 Results
        ",19,"2011 SFO Customer Survey Data Set + Dictionary, SFO Gate and Stand Assignment Information, 2013 SFO Customer Survey Data Set + Dictionary, 2012 SFO Customer Survey Data Set + Dictionary, SFO Passenger Services, SFO Things To Do, SFO Museum Exhibitions, Aircraft Parking Activity Records at SFO, Air Traffic Landings Statistics, Airport (SFO) Contract Opportunities"
sfpd,"
      18 Results
        ",18,"SFPD Incidents - from 1 January 2003, SFPD Incidents - Previous Year (2015), SFPD Incidents - Current Year (2016), SFPD Incidents - Previous Year (2014), SFPD Incidents - from 1 January 2003, Map: Crime Incidents - from 1 Jan 2003, West Portal Area, Mid-Market Assaults, Traffic Accidents (Previous 3 Months), Treasure Island Crime Map - Previous 3 Months"
shapefile,"
      76 Results
        ",76,"San Francisco Facilities - Current (Zipped Shapefile Format), (Deprecated) Privately Owned Public Open Space (POPOS) and Public Art, Planning Department Records Including Projects, Entitlements, Cases, Enforcement, Miscellaneous Permits, Zoning Administrator Letters of Determination, Planning Applications, Maher Map, Land Use, San Francisco City Lands - Current (Zipped Shapefile Format), Planning Department Records, Zoning Districts, Open Spaces - City Planning, Privately Owned Public Open Space (POPOS) and Public Art"
shapefiles,"
      76 Results
        ",76,"San Francisco Facilities - Current (Zipped Shapefile Format), San Francisco City Lands - Current (Zipped Shapefile Format), Planning Department Records Including Projects, Entitlements, Cases, Enforcement, Miscellaneous Permits, Zoning Administrator Letters of Determination, Planning Applications, Historic Zoning Districts - 2012, Disabled parking spaces, (Deprecated) Privately Owned Public Open Space (POPOS) and Public Art, Metered motorcycle spaces, Traffic Calming Point Features, Traffic Analysis Zones, San Francisco Plant Database"
shoreline,"
      2 Results
        ",2,"SF Shoreline and Islands, Urban Bird Refuge"
sidewalk,"
      10 Results
        ",10,"Street and Sidewalk Cleaning, DPW Street & Sidewalk Evaluation Results, 7-1-2013 to Present, Street Space Permits aka: DPT Tow Verification List, FY07-11 Street Evaluation Results, Parklet Permits, Park Scores 2005-2014, City curbs and islands, Green Benefit Districts, San Francisco Plant Database, Street Intersections Served by the SFMTA School Crossing Guard Program"
street,"
      159 Results
        ",159,"Street Names, List of Streets and Intersections, Street Tree Map, Street and Sidewalk Cleaning, Street Tree List, Street-Use Permits, Streets of San Francisco, FY07-11 Street Evaluation Results, Utility Excavation Moratorium Streets, Street Sweeper Scheduled Routes"
streets,"
      159 Results
        ",159,"Street Names, Miles Of Streets, Street Acceptance Data, Streets Data - Pavement Condition Index (PCI) Scores, Street Tree Map, Street and Sidewalk Cleaning, Street Tree List, Street-Use Permits, List of Streets and Intersections, Streets Data -Historical Pavement Condition Index (PCI) Scores"
tax,"
      20 Results
        ",20,"Historic Secured Property Tax Rolls, Map of Historic Secured Property Tax Rolls Fiscal Year 2014, Total Contributions for Committees Formed to Support or Oppose Measure E- Business and Tax Regulation Code - Enact Gross Receipts Tax and Phase Out Payroll Expense Act of 2012 - November 6, 2012 Election, Total Expenditures for Committees Formed to Support or Oppose Measure E- Business and Tax Regulation Code - Enact Gross Receipts Tax and Phase Out Payroll Expense Act of 2012 - November 6, 2012 Election, Total Expenditures for Committees Formed to Support or Oppose Measure A - Parcel Tax - November 6, 2012 Election, Total Contributions for Committees Formed to Support or Oppose Measure A - Parcel Tax - November 6, 2012 Election, Registered Business Locations - San Francisco, Open Business Location_ID only, Map of Registered Business Locations, Assessments by Year and Neighborhood Code"
taxi,"
      5 Results
        ",5,"Travel Decision Survey Data 2013, Vehicle Miles Traveled Estimates from SF-CHAMP – 2012, Travel Decision Survey Data 2015, Travel Decision Survey Data 2014, Travel Decision Survey Data 2012"
tickets,"
      4 Results
        ",4,"Number of Tickets Opened, 311 Explorer, Muni Driver Reported Transit Only Lane Violations, Form 700 Schedule D"
topo,"
      0 Results
        ",0,
topography,"
      0 Results
        ",0,
tourism,"
      0 Results
        ",0,
traffic,"
      17 Results
        ",17,"Traffic Analysis Zones, Traffic Accidents (Previous 3 Months), Air Traffic Passenger Statistics, Air Traffic Landings Statistics, Muni Driver Reported Transit Only Lane Violations, Traffic Calming Point Features, Traffic Signals, Air Traffic Cargo Statistics, Traffic Circles, Map of Traffic Signals"
transit,"
      13 Results
        ",13,"Public Transportation Stops and Routes, San Francisco, CA, Travel Decision Survey Data 2014, SFMTA Transit Stop and Schedule Data (GTFS format)., Travel Decision Survey Data 2015, Travel Decision Survey Data 2013, Travel Decision Survey Data 2012, Muni Driver Reported Transit Only Lane Violations, Bay Area Rapid Transit Districts in San Francisco, NextMuni vehicle prediction data, Vehicle Miles Traveled Estimates from SF-CHAMP – 2012"
transportation,"
      109 Results
        ",109,"Public Transportation Stops and Routes, San Francisco, CA, SFMTA Transit Stop and Schedule Data (GTFS format)., Parking meters, Off-street parking lots and parking garages map, Off-Street parking lots and parking garages, SFMTA routes and stops for March 2012, Meter Location Lookup, Parking, Meter Rate Schedules, SFEC 3.216(d) Gifts of Travel Filings"
tree,"
      18 Results
        ",18,"Street Tree Map, Street Tree List, List of Blocks Where DPW Has a Tree Maintenance Agreement, DPW Street & Sidewalk Evaluation Results, 7-1-2013 to Present, FY07-11 Street Evaluation Results, Tree Caretakers in San Francisco, 311 Cases by Category - Tree Map, SF Urban Tree Canopy, greenwich street city maintained trees, Campaign Finance - Major Donors - 2014 - Tree Map"
trees,"
      18 Results
        ",18,"Street Tree Map, Street Tree List, Tree Caretakers in San Francisco, greenwich street city maintained trees, List of Blocks Where DPW Has a Tree Maintenance Agreement, 311 Cases by Category - Tree Map, SF Urban Tree Canopy, StreetTreeList311, StreetTreeList311, StreetTreeList311"
waste,"
      2 Results
        ",2,"Illegal Dumping/Abandoned Waste, San Francisco Communitywide Greenhouse Gas Inventory"
water,"
      17 Results
        ",17,"Beach Water Quality, Water bodies, Water Related Case Map - Four Days, Census 2000: Tracts for San Francisco (no water), Census 2000: Blocks for San Francisco (no water), Total Expenditures for Committees Formed to Support or Oppose Measure F - The Water Sustainability and Environmental Restoration Planning Act of 2012 - November 6, 2012 Election, Total Contributions for Committees Formed to Support or Oppose Measure F - The Water Sustainability and Environmental Restoration Planning Act of 2012 - November 6, 2012 Election, Total Contributions and Expenditures for Committees Formed to Support or Oppose the Water Sustainability and Environmental Restoration Planning Act of 2012, Census 2000: Block Groups for San Francisco (no water), SFRPD Rain Out Info"
weather,"
      5 Results
        ",5,"Existing Commercial Buildings Energy Performance Ordinance Report, San Francisco Wind Monitoring Data - Current, San Francisco Wind Monitoring Data - Prior Year, SFRPD Rain Out Info, Late Night Preferential Runway Use"
wind,"
      2 Results
        ",2,"San Francisco Wind Monitoring Data - Current, San Francisco Wind Monitoring Data - Prior Year"
zip,"
      109 Results
        ",109,"Supervisor District to ZIP Code Crosswalk, San Francisco ZIP Codes, San Francisco Facilities - Current (Zipped Shapefile Format), Bay Area ZIP Codes, San Francisco City Lands - Current (Zipped Shapefile Format), Orthophoto 1ft resolution (1993) - (Zipped MrSID Format), Map of Contributions for Candidate Controlled Committees Grouped by Zip Code - Board of Supervisors District 1 - November 6, 2012, Map of Itemized Monetary Contributions to Committees Controlled by Candidates for Mayor 2011 Grouped by Zip Code, Map of Contributions for Candidate Controlled Committees Grouped by Zip Code - Board of Education - November 6, 2012 Election, Map of Contributions for Candidate Controlled Committees Grouped by Zip Code - Board of Supervisors District 5 - November 6, 2012"
zoning,"
      81 Results
        ",81,"Zoning Districts, Planning Department Records Including Projects, Entitlements, Cases, Enforcement, Miscellaneous Permits, Zoning Administrator Letters of Determination, Planning Applications, San Francisco Pipeline Map Fourth Quarter 2012, SFMTA-Enforced Temporary Tow Zones, Pipeline 2012, Second Quarter Data, Basic Development Project Pipeline Map 2012 Q1, San Francisco Development Pipeline 2012 Quarter 1, San Francisco Development Pipeline 2016 Quarter 1, San Francisco Development Pipeline Q1 2012, Historic Zoning Districts - 2012"
