Search Term,Exit Page,Total Unique Searches,Results Pageviews / Search,% Search Exits,% Search Refinements,Time after Search,Average Search Depth
temperature,/Energy-and-Environment/San-Francisco-Wind-Monitoring-Data-Current/bkgs-xaqe,5,1.2,0.00%,0.00%,0:00:44,4.4
terrain,/browse/embed?Department-Metrics_Publishing-Department=&category=&limit=20&limitTo=&q=terrain&view_type=rich,5,2,0.00%,20.00%,0:00:08,3.8
tickets,/City-Management-and-Ethics/Number-of-Tickets-Opened/9due-8t8i,5,3.6,0.00%,11.11%,0:07:44,13.8
tickets,/Transportation/SFMTA-Enforced-Temporary-Tow-Zones/cqn5-muyy,5,2.6,0.00%,38.46%,0:02:13,6.4
tickets parking,/City-Infrastructure/Case-Data-from-San-Francisco-311-SF311-/vw6y-z8j6,5,2,0.00%,60.00%,0:01:50,8
tnc,/Economy-and-Community/Registered-Business-Locations-San-Francisco/g8m3-pdis,5,1.2,0.00%,33.33%,0:00:27,3.2
topo,/browse/embed?category=&limit=20&limitTo=&q=topo&view_type=rich,5,2,0.00%,0.00%,0:00:02,3.8
topography,/browse/embed?category=Geographic+Locations+and+Boundaries&limit=20&limitTo=&q=topography&view_type=rich,5,2.2,0.00%,0.00%,0:00:10,5.4
topography,/browse/embed?Department-Metrics_Publishing-Department=&category=&limit=20&limitTo=&q=topography&view_type=rich,5,1.6,0.00%,0.00%,0:00:01,3.2
total housing units,/Geographic-Locations-and-Boundaries/San-Francisco-ZIP-Codes-Zipped-Shapefile-Format-/9q84-kc2y,5,1,0.00%,0.00%,0:02:19,2.8
tract,/Geographic-Locations-and-Boundaries/Census-2010-Census-Tracts-for-San-Francisco-Zipped/jyce-hqn2,5,1.2,0.00%,0.00%,0:00:25,4.2
tracts,/Geographic-Locations-and-Boundaries/Census-2010-Census-Tracts-for-San-Francisco-Zipped/jyce-hqn2,5,1.2,0.00%,0.00%,0:00:32,4.4
traffic,/browse/embed?category=&limit=20&limitTo=&q=traffic&utf8=‰ÏÒ&view_type=rich&page=3,5,4.2,0.00%,0.00%,0:05:50,14.2
traffic,/browse/embed?category=Transportation&limit=20&limitTo=&q=traffic&view_type=rich,5,1.2,0.00%,0.00%,0:00:01,2.6
traffic,/Geographic-Locations-and-Boundaries/Streets-of-San-Francisco-Zipped-Shapefile-Format-/wbm8-ratb,5,2,0.00%,50.00%,0:12:03,6.8
traffic,/Geographic-Locations-and-Boundaries/Traffic-Analysis-Zones/5kak-8ihj,5,1,0.00%,0.00%,0:00:46,2.8
traffic,/showcase,5,1.6,0.00%,37.50%,0:03:50,6
traffic,/Transportation/Traffic-Density-San-Francisco-CA/rhp4-jr7s?category=Transportation&view_name=Traffic-Density-San-Francisco-CA,5,2,0.00%,0.00%,0:00:52,9.6
traffic calming,/Transportation/Traffic-Calming-Point-Features/ddye-rism,5,2,0.00%,0.00%,0:00:13,5.8
traffic count,/browse/embed?Department-Metrics_Publishing-Department=&category=&limit=20&limitTo=&q=traffic+count&view_type=rich,5,1,0.00%,0.00%,0:00:05,2
traffic count,/Transportation/Traffic-Density-San-Francisco-CA/rhp4-jr7s,5,2.6,0.00%,0.00%,0:04:27,17.4
traffic counts,/browse/embed?Department-Metrics_Publishing-Department=&category=&limit=20&limitTo=&q=traffic+counts&view_type=rich,5,1,0.00%,0.00%,0:00:12,4.4
traffic counts,/Transportation/Traffic-Density-San-Francisco-CA/rhp4-jr7s,5,2,0.00%,20.00%,0:00:13,5.2
traffic light,/browse/embed?category=&limit=20&limitTo=&q=traffic+light&view_type=rich,5,1.2,0.00%,0.00%,0:00:05,2.6
traffic signals,/Transportation/Traffic-Control-Signal-Locations-in-San-Francisco-/knrw-a3gi,5,2.2,0.00%,0.00%,0:07:56,9.4
train,/browse/embed?category=&limit=20&limitTo=&q=train&view_type=rich,5,2.2,0.00%,0.00%,0:00:07,4.4
transit,/browse/embed?category=&limit=20&limitTo=&q=transit&utf8=‰ÏÒ&view_type=rich&page=4,5,1.2,0.00%,0.00%,0:00:24,5.4
transportation,/,5,2.2,0.00%,18.18%,0:07:21,11.6
transportation,/Transportation/Public-Transportation-Stops-and-Routes-San-Francis/s593-yv8k,5,2,0.00%,0.00%,0:00:10,5.8
tree,/,5,2.8,0.00%,14.29%,0:02:50,16.4
tree,/browse/embed?Department-Metrics_Publishing-Department=&category=&limit=20&limitTo=&q=tree&view_type=rich,5,1.6,0.00%,0.00%,0:00:15,3.6
truck,/Economy-and-Community/Mobile-Food-Facility-Permit/rqzj-sfat,5,1.6,0.00%,0.00%,0:05:08,5.4
uber,/browse/embed?category=&limit=20&limitTo=&q=uber&view_type=rich,5,2.6,0.00%,15.38%,0:00:19,5.4
vacancy,/Housing-and-Buildings/Land-Use/ngem-gcfs,5,4.2,0.00%,23.81%,0:00:44,17
vacant,/Housing-and-Buildings/Land-Use/us3s-fp9q,5,1.6,0.00%,0.00%,0:14:18,2
vendor payments,/City-Management-and-Ethics/Vendor-Payments-Vouchers-/n9pm-xkyq,5,2.6,0.00%,0.00%,0:02:59,6.4
vendors,/City-Management-and-Ethics/Vendor-Payments-Purchase-Order-Summary-/p5r5-fd7g,5,1.2,0.00%,0.00%,0:05:09,5.2
walking and cycling,/Transportation/Minutes-Spent-Walking-or-Biking-San-Francisco-CA/vbnm-bxwq,5,3.2,0.00%,50.00%,0:00:56,13.4
water,/browse/embed?Department-Metrics_Publishing-Department=&category=Geographic+Locations+and+Boundaries&limit=20&limitTo=&q=water&view_type=rich,5,2.8,0.00%,0.00%,0:06:36,6.4
water,/Culture-and-Recreation/Park-Lands-Recreation-and-Parks-Department-Zipped-/qkuk-eir7,5,2.2,0.00%,45.45%,0:12:01,5.4
water,/dataset/Water-Related-Case-Map-Four-Days/s5tu-9idx,5,4.2,0.00%,0.00%,0:03:15,11
water,/developers,5,3.6,0.00%,27.78%,0:02:24,10
water,/Geographic-Locations-and-Boundaries/Elevation-Contours-Zipped-Shapefile-Format-/x467-4ghd,5,3.2,0.00%,31.25%,0:01:26,18.2
water bodies,/Geographic-Locations-and-Boundaries/SF-Shoreline-and-Islands-Zipped-Shapefile-Format-/feqe-wvxg,5,2.2,0.00%,45.45%,0:00:30,5.8
Water Bodies,/Geographic-Locations-and-Boundaries/SF-Shoreline-and-Islands-Zipped-Shapefile-Format-/feqe-wvxg,5,2,0.00%,50.00%,0:00:49,4.8
weather,/browse/embed?category=&limit=20&limitTo=&q=climate&view_type=rich,5,2,0.00%,50.00%,0:01:13,4.4
weather,/Culture-and-Recreation/SFRPD-Rain-Out-Info/j9ey-wiz2,5,1,0.00%,0.00%,0:02:29,3.2
weather,/Energy-and-Environment/San-Francisco-Wind-Monitoring-Data-Prior-Year/rabs-nyxp,5,2,0.00%,20.00%,0:06:05,8.6
wifi,/browse/embed?category=&limit=20&limitTo=&q=wifi&view_type=rich,5,3.2,0.00%,12.50%,0:00:17,7
wind,/browse/embed?Department-Metrics_Publishing-Department=&category=&limit=20&limitTo=&q=wind&view_type=rich,5,2.6,0.00%,0.00%,0:05:54,5.8
wind monitoring,/Energy-and-Environment/San-Francisco-Wind-Monitoring-Data-Current/bkgs-xaqe?category=Energy-and-Environment&view_name=San-Francisco-Wind-Monitoring-Data-Current,5,1.2,0.00%,0.00%,0:01:56,7
wireless,/browse/embed?category=&limit=20&limitTo=&q=wireless&view_type=rich,5,3.2,0.00%,0.00%,0:00:51,18.6
wireless,/Geographic-Locations-and-Boundaries/Wireless-Telecommunications-Facilities/a2nd-rnda,5,2.6,0.00%,0.00%,0:00:35,12.8
women,/browse/embed?category=&limit=20&limitTo=&q=women&view_type=rich,5,1.6,0.00%,0.00%,0:00:05,3.2
zip,/browse/embed?Department-Metrics_Publishing-Department=&category=&limit=20&limitTo=&q=zip&view_type=rich,5,5.2,0.00%,0.00%,0:03:21,16.4
zip code,/Geographic-Locations-and-Boundaries/Supervisor-District-and-ZIP-Codes/v22h-ujnv,5,2,0.00%,0.00%,0:02:35,6.4
zip codes,/Geographic-Locations-and-Boundaries/Bay-Area-ZIP-Codes-Zipped-Shapefile-Format-/hbza-6v77,5,1.6,0.00%,25.00%,0:01:37,5.4
zipcodes,/,5,1.6,0.00%,37.50%,0:00:20,4.8
zipcodes,/Geographic-Locations-and-Boundaries/San-Francisco-ZIP-Codes-Zipped-Shapefile-Format-/9q84-kc2y,5,1.6,0.00%,75.00%,0:00:15,3.8
zoning,/browse/embed?category=&limit=20&limitTo=&q=zoning&utf8=‰ÏÒ&view_type=rich&page=2,5,1.6,0.00%,0.00%,0:00:48,12.8
zoning,/login,5,2,0.00%,20.00%,0:09:27,10.2
zoning districts,/,5,2.8,0.00%,35.71%,0:00:59,9
zoning districts,/browse/embed?Department-Metrics_Publishing-Department=&category=&limit=20&limitTo=&q=zoning+districts&view_type=rich,5,3.2,0.00%,0.00%,0:05:12,9.6
.shp,/,3,2.67,0.00%,37.50%,0:02:56,42.33
"""Basemap Street Centerlines""",/Geographic-Locations-and-Boundaries/San-Francisco-Basemap-Street-Centerlines-Zipped-Sh/5rn4-fswj,3,1.67,0.00%,0.00%,0:03:01,1.67
"""Campaign Finance - FPPC""","/browse/embed?category=&limit=20&limitTo=datasets&q=""Campaign+Finance+-+FPPC""&view_type=rich",3,1.67,0.00%,0.00%,0:00:06,3.33
"""citywide performance measurement""","/browse/embed?Department-Metrics_Publishing-Department=&category=&limit=20&limitTo=&q=""citywide+performance+measurement""&view_type=rich",3,2,0.00%,0.00%,0:00:03,21.33
"""property tax""","/browse/embed?category=&limit=20&limitTo=&q=""property+tax""&view_type=rich",3,1,0.00%,0.00%,0:00:05,10.67
431379,/Economy-and-Community/Registered-Business-Locations-San-Francisco/g8m3-pdis,3,1,0.00%,0.00%,0:02:10,3.67
112 yukon,/,3,1.67,0.00%,0.00%,0:00:18,7
1600 California street,/browse/embed?category=&limit=20&limitTo=&q=1600+California+street&utf8=‰ÏÒ&view_type=rich&page=3,3,3.33,0.00%,0.00%,0:03:37,15
1996-2013 city survey,/City-Management-and-Ethics/Dataset-Inventory/y8fp-fbf5,3,2,0.00%,33.33%,0:04:10,8.67
2 hour parking,/browse/embed?category=&limit=20&limitTo=&q=2+hour+parking&view_type=rich,3,2.67,0.00%,0.00%,0:00:54,6.33
2010 census,/browse/embed?Department-Metrics_Publishing-Department=&category=&limit=20&limitTo=&q=2010+census&view_type=rich,3,1,0.00%,0.00%,0:00:05,2
2010 census,/Geographic-Locations-and-Boundaries/Census-2010-Census-Blocks-for-San-Francisco-Zipped/d7g8-55kx,3,1.67,0.00%,0.00%,0:00:10,4.67
2010 census,/Geographic-Locations-and-Boundaries/Census-2010-Census-Tracts-for-San-Francisco-Zipped/jyce-hqn2,3,2,0.00%,33.33%,0:01:10,6
2010 census,/widgets/d7g8-55kx,3,1,0.00%,66.67%,0:01:52,7.33
2011 herrera campaign contributions,/browse/embed?Department-Metrics_Publishing-Department=&category=&limit=20&limitTo=&q=2011+herrera+campaign+contributions&view_type=rich,3,2,0.00%,0.00%,0:04:20,4.67
2013 housing inventory,/Housing-and-Buildings/2013-Housing-Inventory/e7d3-dxh5,3,2,0.00%,0.00%,0:00:34,6.33
2014,/,3,3.33,0.00%,30.00%,0:02:19,19.67
2014,/login,3,1.67,0.00%,60.00%,0:00:19,3.33
2014 housing inventory,/Housing-and-Buildings/2014-Housing-Inventory/pucn-j93j,3,2,0.00%,33.33%,0:00:19,5.33
2015,/Housing-and-Buildings/San-Francisco-Development-Pipeline-2015-Quarter-3/apz9-dh7k,3,1,0.00%,0.00%,0:00:10,3.33
311,/about,3,1.67,0.00%,40.00%,0:30:58,9
311,/browse?q=311&sortBy=relevance&utf8=‰ÏÒ,3,2.67,100.00%,0.00%,0:01:18,1
311,/browse/embed?category=&limit=20&limitTo=&q=311&utf8=‰ÏÒ&view_type=rich&page=2,3,11.33,0.00%,0.00%,0:21:41,33.67
311,/browse/embed?category=&limit=20&limitTo=&q=311&utf8=‰ÏÒ&view_type=rich&page=3,3,2,0.00%,0.00%,0:02:18,11.33
311,/browse/embed?category=&limit=20&limitTo=&q=911&view_type=rich,3,5.33,0.00%,18.75%,0:01:03,15
311,/City-Infrastructure/311-Cases-by-Category-Tree-Map/bf6q-9qjw,3,3.33,0.00%,20.00%,0:17:12,21.33
311,/City-Infrastructure/Donut-Chart-of-311-Cases-by-Category/u3mi-pmcn,3,2,0.00%,33.33%,0:02:58,16
311,/City-Management-and-Ethics/Budget-FTE-Fiscal-Year-2016/e44b-v7q7,3,1,0.00%,66.67%,0:01:19,2.67
311,/City-Management-and-Ethics/Human-Waste/mv85-4ee7,3,5.33,0.00%,12.50%,0:39:04,34.33
311,/City-Management-and-Ethics/Street-and-Sidewalk-Cleaning/h3eg-w3pj,3,1,0.00%,0.00%,0:02:22,5.33
311,/Economy-and-Community/Registered-Business-Locations-San-Francisco/g8m3-pdis,3,4.33,0.00%,0.00%,0:02:10,11.67
311,/Public-Safety/SFPD-Reported-Incidents-2003-to-Present/dyj4-n68b,3,7.33,0.00%,13.64%,0:23:46,54.67
311,/Transportation/Parking-meters/28my-4796,3,2.67,0.00%,37.50%,0:10:59,7
311,/widgets/jz25-nkm4,3,1.67,0.00%,0.00%,0:00:16,4.67
311 budget,/City-Management-and-Ethics/Budget-FTE-Fiscal-Year-2016/e44b-v7q7,3,1,0.00%,66.67%,0:00:58,3.67
311 dpw complaints,/City-Infrastructure/Case-Data-from-San-Francisco-311-SF311-/vw6y-z8j6,3,1.67,0.00%,0.00%,0:05:10,7.33
3d,/browse/embed?category=&limit=20&limitTo=&q=3d&utf8=‰ÏÒ&view_type=rich&page=2,3,1.67,0.00%,0.00%,0:01:23,9.67
3d,/browse/embed?category=&limit=20&limitTo=&q=3d&view_type=rich,3,2,0.00%,0.00%,0:00:18,4.33
3d building,/Geographic-Locations-and-Boundaries/Building-Footprints-Zipped-Shapefile-Format-/jezr-5bxm,3,2,0.00%,0.00%,0:00:11,6.33
460,/browse/embed?category=City+Management+and+Ethics&limit=20&limitTo=&q=460&view_type=rich,3,3.67,0.00%,0.00%,0:08:06,11.67
460,/City-Management-and-Ethics/Campaign-Finance-FPPC-Form-460-Schedule-A-Cumulati/2c53-tt65,3,2,0.00%,0.00%,0:00:20,6.33
460,/City-Management-and-Ethics/Campaign-Finance-FPPC-Form-497-Late-Contribution-R/xdap-cuq4,3,2,0.00%,50.00%,0:03:32,7.33
460 a,/City-Management-and-Ethics/Campaign-Finance-FPPC-Form-460-Schedule-A-Monetary/q66q-d2tr,3,1,0.00%,0.00%,0:02:20,3.67
460 e,/City-Management-and-Ethics/Campaign-Finance-FPPC-Form-460-Schedule-G-Payments/6iqh-u3hk,3,2.67,0.00%,25.00%,0:09:20,1
460 E,/City-Management-and-Ethics/Campaign-Finance-FPPC-Form-460-Schedule-G-Payments/6iqh-u3hk,3,1.67,0.00%,60.00%,0:07:38,2.67
460 forms Schedule A,/City-Management-and-Ethics/Campaign-Finance-FPPC-Form-460-Schedule-A-Monetary/q66q-d2tr,3,1,0.00%,0.00%,0:39:15,16
460 schedule,/City-Management-and-Ethics/Campaign-Finance-FPPC-Form-460-Schedule-A-Monetary/q66q-d2tr,3,1.67,0.00%,100.00%,0:01:12,6.33
460 schedule a,/browse/embed?category=&limit=20&limitTo=&q=460+schedule+a&view_type=rich,3,2,0.00%,0.00%,0:01:53,6
460 summary,/City-Management-and-Ethics/Campaign-Finance-FPPC-Form-460-Summary-Totals/4tts-fyix,3,2,0.00%,0.00%,0:09:00,6.33
497,/City-Management-and-Ethics/Campaign-Finance-FPPC-Form-460-Schedule-A-Monetary/q66q-d2tr,3,2,0.00%,50.00%,0:06:13,10.67
5 thomas mellon circle,/browse/embed?category=&limit=20&limitTo=&q=5+thomas+mellon+circle&view_type=rich,3,2,0.00%,0.00%,0:00:05,4.33
608 haight,/Economy-and-Community/Registered-Business-Locations-San-Francisco/g8m3-pdis,3,1,0.00%,0.00%,0:00:14,3.33
911,/browse/embed?Department-Metrics_Publishing-Department=&category=&limit=20&limitTo=&q=911&view_type=rich,3,1.67,0.00%,0.00%,0:01:57,4.33
911,/Public-Safety/SFPD-Incidents-from-1-January-2003/tmnf-yvry,3,1,0.00%,0.00%,0:01:47,4.67
911 calls,/City-Infrastructure/All-cases-map-view/ky99-f5iy,3,1,0.00%,66.67%,0:09:45,5.33
94102,/browse/embed?category=&limit=20&limitTo=&q=94102&view_type=rich,3,3.33,0.00%,0.00%,0:00:16,7.33
94111,/browse/embed?category=&limit=20&limitTo=&q=94111&view_type=rich,3,2,0.00%,0.00%,0:00:06,4.33
94536,/browse/embed?category=&limit=20&limitTo=&q=94536&view_type=rich,3,2,0.00%,0.00%,0:00:04,4.33
aadt,/browse/embed?Department-Metrics_Publishing-Department=&category=&limit=20&limitTo=&q=traffic+count&view_type=rich,3,1,0.00%,100.00%,0:00:09,2
Aaron Peskin,/developers,3,2,0.00%,50.00%,0:00:12,4.33
abuse,/browse/embed?category=&limit=20&limitTo=&q=abuse&view_type=rich,3,1,0.00%,0.00%,0:00:08,2
accident,/,3,4.33,0.00%,0.00%,0:01:35,20.33
accident,/Public-Safety/San-Francisco-Police-Stations/8xyy-6zfh,3,2,0.00%,33.33%,0:06:03,9.67
accidents,/browse/embed?Department-Metrics_Publishing-Department=&category=&limit=20&limitTo=&q=accidents&view_type=rich,3,1.67,0.00%,0.00%,0:00:25,3.67
accidents,/Public-Safety/Pedestrian-Injury-Count-2005-2011-San-Francisco-CA/dduv-erzw,3,5.33,0.00%,12.50%,0:02:07,26.67
accidents,/Public-Safety/SFPD-Incidents-from-1-January-2003/tmnf-yvry,3,1.67,0.00%,40.00%,0:00:10,3.33
active business,/Economy-and-Community/Registered-Business-Map/vt9c-aeiw,3,2,0.00%,0.00%,0:00:13,15.67
address,/City-Infrastructure/Graffiti-30-Days/p6sg-7yp7,3,4.33,0.00%,15.38%,0:01:37,13
address,/Geographic-Locations-and-Boundaries/Building-Footprints-Zipped-Shapefile-Format-/jezr-5bxm,3,3.33,0.00%,20.00%,0:18:44,50.33
address,/Geographic-Locations-and-Boundaries/City-Lots-Zipped-Shapefile-Format-/3vyz-qy9p,3,4.33,0.00%,15.38%,0:02:07,18.67
address points,/Geographic-Locations-and-Boundaries/City-Lots-Zipped-Shapefile-Format-/3vyz-qy9p,3,4.33,0.00%,15.38%,0:01:02,6.33
addresses,/,3,2,0.00%,33.33%,0:00:51,6.33
addresses,/browse/embed?category=&limit=20&limitTo=&q=addresses&view_type=rich,3,3.33,0.00%,0.00%,0:03:11,8.67
addresses,/browse/embed?Department-Metrics_Publishing-Department=&category=&limit=20&limitTo=&q=addresses&view_type=rich,3,2,0.00%,0.00%,0:09:27,4.67
addresses,/Geographic-Locations-and-Boundaries/Private-Schools-Points-/64n6-x2xf,3,1,0.00%,0.00%,0:02:05,4.33
adrian santos,/Economy-and-Community/Registered-Business-Locations-San-Francisco/g8m3-pdis,3,1,0.00%,0.00%,0:00:12,3.33
adu,/login,3,1,0.00%,0.00%,0:22:51,18.33
advisories,/login,3,1.67,0.00%,0.00%,1:02:51,24
advisories,/Public-Safety/SFPD-Incidents-Previous-Three-Months/tmnf-yvry,3,3.33,0.00%,30.00%,0:00:37,6.33
aerial,/,3,2,0.00%,83.33%,0:01:19,7
aerial,/browse/embed?category=&limit=20&limitTo=&q=aerial&utf8=‰ÏÒ&view_type=rich&page=2,3,3.33,0.00%,0.00%,0:00:41,12.33
aerial,/browse/embed?category=&limit=20&limitTo=&q=aerial&utf8=‰ÏÒ&view_type=rich&page=3,3,2,0.00%,0.00%,0:00:35,25.67
aerial,/browse/embed?category=&limit=20&limitTo=maps&q=aerial&view_type=rich,3,3.33,0.00%,0.00%,0:00:13,6.33
aerial,/browse/embed?Department-Metrics_Publishing-Department=&category=&limit=20&limitTo=&q=imagery&view_type=rich,3,1.67,0.00%,60.00%,0:01:07,6.33
aerial,/Geographic-Locations-and-Boundaries/Orthophoto-mosaic-of-San-Francisco-proper-2014-10c/c24s-w3ii,3,2.67,0.00%,25.00%,0:02:49,14
affordable,/Housing-and-Buildings/Proportion-of-Housing-Stock-that-is-Rent-Controlle/ypnu-v2zq,3,5.33,0.00%,12.50%,0:00:45,16
affordable housing,/,3,1.67,0.00%,0.00%,0:00:43,9
affordable housing,/Geographic-Locations-and-Boundaries/Affordable-Housing-Bonus-Program-Zoning-Districts-/hxy5-cgnc,3,1.67,0.00%,40.00%,0:36:11,14.33
affordable housing,/Housing-and-Buildings/2014-Housing-Inventory/pucn-j93j,3,9.67,0.00%,10.34%,0:06:48,29
age,/browse/embed?category=Economy+and+Community&limit=20&limitTo=&q=age&view_type=rich,3,2.67,0.00%,0.00%,0:00:17,5.33
agriculture,/browse/embed?category=&limit=20&limitTo=&q=agriculture&view_type=rich,3,1.67,0.00%,0.00%,0:00:07,3.33
agriculture,/browse/embed?Department-Metrics_Publishing-Department=&category=&limit=20&limitTo=&q=agriculture&view_type=rich,3,1.67,0.00%,0.00%,0:00:06,3.33
agustin anda,/,3,2.67,0.00%,25.00%,0:03:10,7.33
air,/,3,2.67,0.00%,25.00%,0:00:14,8.67
air,/browse/embed?Department-Metrics_Publishing-Department=&category=&limit=20&limitTo=&q=air+quality&view_type=rich,3,5.33,0.00%,31.25%,0:01:11,14.33
air quality,/login,3,3.33,0.00%,0.00%,0:02:26,13
air traffic,/Transportation/SFO-Passenger-Cargo-Aircraft-Landing-Datasets/zax7-gzc9,3,1.67,0.00%,0.00%,0:00:53,25.67
airbnb,/,3,2.67,0.00%,0.00%,0:04:47,10
alcatraz,/browse/embed?Department-Metrics_Publishing-Department=&category=&limit=20&limitTo=&q=alcatraz&view_type=rich,3,1,0.00%,0.00%,0:00:09,6.33
alcohol,/,3,3.33,0.00%,0.00%,0:02:35,14
alcohol,/browse/embed?category=&limit=20&limitTo=&q=alcohol&utf8=‰ÏÒ&view_type=rich&page=2,3,4.33,0.00%,0.00%,0:01:34,18.33
alcohol,/browse/embed?Department-Metrics_Publishing-Department=&category=&limit=20&limitTo=&q=alcohol&view_type=rich,3,5.33,0.00%,0.00%,0:01:12,39.67
alcohol,/Economy-and-Community/Off-Sale-Alcohol-Outlets-San-Francisco-CA/fwey-9zhp?category=Economy-and-Community&view_name=Off-Sale-Alcohol-Outlets-San-Francisco-CA,3,2,0.00%,0.00%,0:00:28,8.67
allcnnsinorder,/Geographic-Locations-and-Boundaries/List-of-Streets-and-Intersections/pu5n-qu5c,3,1,0.00%,0.00%,0:09:23,2
altitude,/browse/embed?category=&limit=20&limitTo=&q=altitude&view_type=rich,3,1.67,0.00%,0.00%,0:00:02,3.67
ambulance,/browse/embed?category=&limit=20&limitTo=&q=ambulance&view_type=rich,3,1.67,0.00%,40.00%,0:00:20,3.33
ambulance,/Public-Safety/Fire-Incidents/wr8u-xric,3,2,0.00%,50.00%,0:19:42,21
amount of private vehicles,/Transportation/Travel-Decision-Survey-Data-2014/v3h7-53cb,3,1.67,0.00%,100.00%,0:02:29,6
animal,/Economy-and-Community/Animal-Services/39a8-w7as,3,2,0.00%,0.00%,0:00:21,6.33
apartments,/Housing-and-Buildings/Residential-Projects-With-Inclusionary-Requirement/nj3x-rw36,3,1,0.00%,0.00%,0:00:54,3.67
api,/,3,1.67,0.00%,0.00%,0:03:55,15.67
apn,/Geographic-Locations-and-Boundaries/City-Lots-Zipped-Shapefile-Format-/3vyz-qy9p,3,2,0.00%,0.00%,0:00:19,6.33
APNs for Port of SF,/browse/embed?category=&limit=20&limitTo=&q=APNs+for+Port+of+SF&view_type=rich,3,2,0.00%,0.00%,0:00:03,21.33
arrest,/Public-Safety/Map-Crime-Incidents-from-1-Jan-2003/gxxq-x39z,3,1.67,0.00%,0.00%,0:00:18,4.67
arson,/Public-Safety/SFPD-Incidents-from-1-January-2003/tmnf-yvry,3,2.67,0.00%,25.00%,0:03:46,7
art,/Public-Safety/SFPD-Incidents-from-1-January-2003/tmnf-yvry,3,2,0.00%,83.33%,0:02:51,7.33
art galleries,/Economy-and-Community/Registered-Business-Locations-San-Francisco/g8m3-pdis,3,1.67,0.00%,40.00%,0:00:24,3.67
asbestos,/browse/embed?Department-Metrics_Publishing-Department=&category=&limit=20&limitTo=&q=asbestos&view_type=rich,3,1,0.00%,0.00%,0:00:10,2
assembly districts,/Geographic-Locations-and-Boundaries/California-State-Assembly-Districts/8wrd-yeue,3,2.67,0.00%,0.00%,0:02:21,8
assesment,/browse/embed?category=&limit=20&limitTo=&q=assesment&view_type=rich,3,1.67,0.00%,0.00%,0:00:02,3.33
assessment,/Housing-and-Buildings/San-Francisco-Property-Information-Map/i8ew-h6z7,3,1.67,0.00%,40.00%,0:02:42,16
assessor,/browse/embed?category=&limit=20&limitTo=&q=assessor&utf8=‰ÏÒ&view_type=rich&page=3,3,3.33,0.00%,0.00%,0:01:36,11.67
assessor,/browse/embed?Department-Metrics_Publishing-Department=&category=&limit=20&limitTo=href&q=assessor&view_type=rich,3,2,0.00%,0.00%,0:05:08,8
assessor,/City-Management-and-Ethics/San-Francisco-Property-Assessment-Roll-2008/hxgb-533y,3,2.67,0.00%,62.50%,0:04:58,13.33
assessor,/City-Management-and-Ethics/San-Francisco-Property-Assessment-Roll-2013/4sgn-36v2,3,2,0.00%,33.33%,0:00:33,10
assessor,/City-Management-and-Ethics/San-Francisco-Property-Assessment-Roll-FY1213-Q4/23jf-fjsw,3,4.33,0.00%,0.00%,0:27:12,24.67
assessor,/City-Management-and-Ethics/Secured_Roll_FY2013_Q4/e6sm-rank,3,3.33,0.00%,0.00%,0:00:27,9.67
assessor,/Housing-and-Buildings/Historic-Secured-Property-Tax-Rolls/wv5m-vpq2,3,2,0.00%,50.00%,0:04:33,2
assessor,/Housing-and-Buildings/San-Francisco-Property-Information-Map/i8ew-h6z7,3,3.33,0.00%,20.00%,0:01:12,17
avl,/Transportation/Raw-AVL-GPS-data/5fk7-ivit?category=Transportation&view_name=Raw-AVL-GPS-data,3,2,0.00%,0.00%,0:08:21,10.67
AVL,/Transportation/Raw-AVL-GPS-data/5fk7-ivit,3,2,0.00%,0.00%,0:00:17,6.33
b6tj-gt35,/City-Infrastructure/Street-Use-Permits/b6tj-gt35,3,2,0.00%,0.00%,0:00:36,6.33
ballot,/City-Management-and-Ethics/List-of-Historical-Ballot-Measures/xzie-ixjw,3,1.67,0.00%,60.00%,0:00:43,3.67
ban,/,3,3.33,0.00%,0.00%,0:00:36,9
BAN,/browse/embed?Department-Metrics_Publishing-Department=&category=&limit=20&limitTo=&q=BAN&view_type=rich,3,1.67,0.00%,40.00%,0:00:16,3.33
bank,/browse/embed?category=&limit=20&limitTo=&q=bank&view_type=rich,3,2,0.00%,0.00%,0:00:09,4.33
bart,/browse/embed?category=&limit=20&limitTo=href&q=bart&view_type=rich,3,2.67,0.00%,0.00%,0:03:24,6
bart,/browse/embed?category=Transportation&limit=20&limitTo=&q=&view_type=rich,3,8.67,0.00%,7.69%,0:07:00,52.33
bart,/login,3,3.67,0.00%,18.18%,0:10:50,31.67
bart,/Transportation/BART-Districts-in-San-Francisco-Zipped-Shapefile-F/mnn6-ac5f?category=Transportation&view_name=BART-Districts-in-San-Francisco-Zipped-Shapefile-F,3,4.33,0.00%,15.38%,0:02:50,16
BART,/,3,2,0.00%,33.33%,0:03:21,14.33
BART,/browse/embed?category=&limit=20&limitTo=&q=BART&utf8=‰ÏÒ&view_type=rich&page=4,3,1.67,0.00%,0.00%,0:01:11,8.67
BART,/browse/embed?category=Transportation&limit=20&limitTo=&q=BART&view_type=rich,3,2,0.00%,0.00%,0:00:02,4.33
BART,/Transportation/Public-Transportation-Stops-and-Routes-San-Francis/s593-yv8k,3,5.33,0.00%,12.50%,0:03:31,29
