search_term,result_count_raw,result_count,result_datasets
art,"
      3 Results
      filtered by  ",3,"SF Civic Art Collection, San Francisco Arts Commission Grants FY2004-2014, SFO Museum Exhibitions"
alcohol,"
      0 Results
      filtered by  ",0,
business%20registration,"
      3 Results
      filtered by  ",3,"Registered Business Locations - San Francisco, Expenditure Lobbyists Registration and Monthly Disclosure Reports, Permit Consultant Registration and Quarterly Disclosure Reports"
employment,"
      7 Results
      filtered by  ",7,"Campaign Consultants - Employment of Local Officeholders and City Employees, Post- Employment Restriction Waivers, Lobbyist Activity - Payments Promised By Clients, Lobbyist Activity - Political Contributions, Permit Consultant Registration and Quarterly Disclosure Reports, Expenditure Lobbyists Registration and Monthly Disclosure Reports, Form 700 Schedule E"
flood,"
      1 Result
      filtered by  ",1,San Francisco Flood Health Vulnerability
topo,"
      0 Results
      filtered by  ",0,
earthquake,"
      0 Results
      filtered by  ",0,
dem,"
      1 Result
      filtered by  ",1,Fire Department Calls for Service
demographic,"
      9 Results
      filtered by  ",9,"Boiler Permits, Plumbing Permits, Electrical Permits, Community Resiliency Indicator System, Call Center Metrics for the Health Service System, Building Permits, San Francisco Development Pipeline 2015 Quarter 1, San Francisco Flood Health Vulnerability, San Francisco City Survey Data 1996-2015"
sidewalk,"
      6 Results
      filtered by  ",6,"DPW Street & Sidewalk Evaluation Results, 7-1-2013 to Present, Street Space Permits aka: DPT Tow Verification List, FY07-11 Street Evaluation Results, Parklet Permits, Park Scores 2005-2014, Street Intersections Served by the SFMTA School Crossing Guard Program"
wind,"
      0 Results
      filtered by  ",0,
city%20boundary,"
      14 Results
      filtered by  ",14,"San Francisco Communitywide Greenhouse Gas Inventory, Supervisor District to ZIP Code Crosswalk, Registered Business Locations - San Francisco, Street Names, SFPD Incidents - from 1 January 2003, City College of San Francisco Facilities, List of Streets and Intersections, Requests for Information Regarding Protected Status Related to Owner Move-In Evictions, Eviction Notices, Addresses with Units - Enterprise Addressing System (EAS)"
json,"
      0 Results
      filtered by  ",0,
poverty,"
      1 Result
      filtered by  ",1,San Francisco Flood Health Vulnerability
landuse,"
      16 Results
      filtered by  ",16,"San Francisco Development Pipeline 2012 Quarter 1, San Francisco Development Pipeline 2016 Quarter 1, San Francisco Development Pipeline 2014 Quarter 4, San Francisco Development Pipeline 2015 Quarter 3, San Francisco Development Pipeline 2015 Quarter 2, San Francisco Development Pipeline 2015 Quarter 4, San Francisco Development Pipeline 2013 Quarter 1, San Francisco Development Pipeline 2014 Quarter 3, San Francisco Development Pipeline 2013 Quarter 4, San Francisco Development Pipeline 2012 Quarter 2"
aerial,"
      0 Results
      filtered by  ",0,
waste,"
      1 Result
      filtered by  ",1,San Francisco Communitywide Greenhouse Gas Inventory
hospitals,"
      1 Result
      filtered by  ",1,Fire Department Calls for Service
housing%20inventory,"
      4 Results
      filtered by  ",4,"2013 Housing Inventory, 2012 Housing Inventory, 2014 Housing Inventory, 2011 Housing Inventory"
mobile%20food,"
      3 Results
      filtered by  ",3,"Mobile Food Facility Permit, Mobile Food Schedule, Street-Use Permits"
population%20density,"
      0 Results
      filtered by  ",0,
real%20estate,"
      4 Results
      filtered by  ",4,"San Francisco Development Pipeline 2013 Quarter 1, San Francisco Development Pipeline 2013 Quarter 2, Permit Consultant Registration and Quarterly Disclosure Reports, Disclosure Report Developers of Major City Projects Filings"
sfpd%20incidents,"
      1 Result
      filtered by  ",1,SFPD Incidents - from 1 January 2003
airport,"
      19 Results
      filtered by  ",19,"2011 SFO Customer Survey Data Set + Dictionary, Airport (SFO) Contract Opportunities, 2013 SFO Customer Survey Data Set + Dictionary, Air Traffic Passenger Statistics, 2012 SFO Customer Survey Data Set + Dictionary, SFO Gate and Stand Assignment Information, Air Traffic Landings Statistics, Noise Exceedance Rating, SFO Passenger Services, SFO Things To Do"
curbs,"
      2 Results
      filtered by  ",2,"Curb Ramps, Blue Zone (Accessible) Parking"
facilities,"
      19 Results
      filtered by  ",19,"Mobile Food Facility Permit, Surface Mounted Facility Permits, City College of San Francisco Facilities, Health Care Facilities, Wireless Service Facility Permits, Recreation and Park Department's Facility Conditions Assessment, Existing SF Commercial Wireless Facilities - April 2015, Parking Spaces at Off-street Parking Facilities, Mobile Food Schedule, Energy Benchmarking, San Francisco Municipal Buildings"
footprints,"
      1 Result
      filtered by  ",1,Schools
incidents,"
      3 Results
      filtered by  ",3,"Fire Incidents, SFPD Incidents - from 1 January 2003, Fire Department Calls for Service"
street%20parking,"
      12 Results
      filtered by  ",12,"Off-Street parking lots and parking garages, Parking Spaces at Off-street Parking Facilities, Park Scores 2005-2014, Parking meters, Bicycle Parking (Public), Blue Zone (Accessible) Parking, Unmetered Motorcycle Parking, Metered motorcycle spaces, Meter Operating Schedules, Registered Business Locations - San Francisco"
basemap,"
      4 Results
      filtered by  ",4,"Street Names, List of Streets and Intersections, Street Segment and Intersection (CNN) Change Log, Miles Of Streets"
business%20licenses,"
      2 Results
      filtered by  ",2,"Schools, Permit Consultant Registration and Quarterly Disclosure Reports"
density,"
      0 Results
      filtered by  ",0,
planning,"
      44 Results
      filtered by  ",44,"Residential Projects With Inclusionary Requirements, San Francisco Development Pipeline 2012 Quarter 4, Department Open Data Inventory and Plan Status, San Francisco Development Pipeline 2012 Quarter 1, San Francisco Development Pipeline 2013 Quarter 1, San Francisco Development Pipeline 2014 Quarter 3, San Francisco Development Pipeline 2013 Quarter 4, San Francisco Development Pipeline 2012 Quarter 2, San Francisco Development Pipeline 2015 Quarter 4, San Francisco Development Pipeline 2014 Quarter 2"
property%20assessment%20roll,"
      1 Result
      filtered by  ",1,Historic Secured Property Tax Rolls
public%20schools,"
      2 Results
      filtered by  ",2,"Schools, Requests for Information Regarding Protected Status Related to Owner Move-In Evictions"
zip,"
      26 Results
      filtered by  ",26,"Supervisor District to ZIP Code Crosswalk, Eviction Notices, Requests for Information Regarding Protected Status Related to Owner Move-In Evictions, City College of San Francisco Facilities, Form 700 Schedule D, Form 700 Schedule A2, Form 700 Schedule E, Campaign Finance - San Francisco Campaign Committees and Other Campaign Filers, Campaign Finance - FPPC Form 460 - Schedule A - Monetary Contributions, Campaign Finance - FPPC Form 497 - Late Contribution Report - Late Contributions Made"
accident,"
      0 Results
      filtered by  ",0,
census%20shapefile,"
      0 Results
      filtered by  ",0,
bus%20stops,"
      0 Results
      filtered by  ",0,
tickets,"
      2 Results
      filtered by  ",2,"Muni Driver Reported Transit Only Lane Violations, Form 700 Schedule D"
bike%20parking,"
      1 Result
      filtered by  ",1,Bicycle Parking (Public)
development%20pipeline,"
      20 Results
      filtered by  ",20,"San Francisco Development Pipeline 2012 Quarter 1, San Francisco Development Pipeline 2016 Quarter 1, San Francisco Development Pipeline 2014 Quarter 4, San Francisco Development Pipeline 2015 Quarter 2, San Francisco Development Pipeline 2015 Quarter 3, San Francisco Development Pipeline 2015 Quarter 4, San Francisco Development Pipeline 2013 Quarter 1, San Francisco Development Pipeline 2014 Quarter 3, San Francisco Development Pipeline 2013 Quarter 4, San Francisco Development Pipeline 2016 Quarter 2"
height,"
      8 Results
      filtered by  ",8,"San Francisco Development Pipeline 2015 Quarter 4, San Francisco Development Pipeline 2015 Quarter 3, San Francisco Development Pipeline 2016 Quarter 2, San Francisco Development Pipeline 2015 Quarter 1, Housing Balance March 2016, Clearance Heights for Large Vehicle Circulation, SF Development Pipeline 2016 Q3, Existing SF Commercial Wireless Facilities - April 2015"
parking%20tickets,"
      0 Results
      filtered by  ",0,
race,"
      5 Results
      filtered by  ",5,"Campaign Finance - Status of Voluntary Expenditure Ceiling VECs in November 3, 2015 Election, Campaign Finance - Status Of Voluntary Expenditure Ceiling VECs in November 8, 2016 Election, Campaign Finance - Status of Voluntary Expenditure Ceiling (VECs) in November 6, 2012 Election, Campaign Finance - Status Of Voluntary Expenditure Ceiling VECs In November 4, 2014 Election, Campaign Finance - Status of Voluntary Expenditure Ceiling (VECs) in November 5, 2013 Election"
crime%20data,"
      2 Results
      filtered by  ",2,"SFPD Incidents - from 1 January 2003, Police Calls for Service"
imagery,"
      0 Results
      filtered by  ",0,
wind%20monitoring,"
      0 Results
      filtered by  ",0,
campaign%20finance,"
      51 Results
      filtered by  ",51,"Campaign Finance - Data Key, Campaign Finance - FPPC Form 460 - Summary Totals, Campaign Finance - SFEC 1.126 Notification of Contract Approval Filings, Campaign Finance - Filers With Delinquent Campaign Filings, Campaign Finance - FPPC Form 460 - Schedule A - Monetary Contributions, Campaign Finance / Lobbyist - Filers With Unpaid Late Filing Fees, Campaign Finance - FPPC Form 460 - Schedule E - Payments Made, Campaign Finance - FPPC Form 460 - Schedule C - Non-Monetary Contributions, Campaign Finance - FPPC Form 460 - Schedule B1 - Loans Received, Campaign Finance - FPPC Form 460 - Schedule I - Miscellaneous Increases to Cash"
census%20tracts,"
      1 Result
      filtered by  ",1,census_tracts_odata2
dataset%20inventory,"
      5 Results
      filtered by  ",5,"Dataset Inventory, Department Open Data Inventory and Plan Status, Field Dictionary for Open Data Portal Datasets, San Francisco Municipal Greenhouse Gas Inventory, Traffic Signals"
movie,"
      1 Result
      filtered by  ",1,Film Locations in San Francisco
accidents,"
      0 Results
      filtered by  ",0,
csv,"
      9 Results
      filtered by  ",9,"Off-Street parking lots and parking garages, Spending And Revenue, Vendor Payments (Purchase Order Summary), Budget, Employee Compensation, Budget - FTE, Spending - FTE, Vendor Payments (Vouchers), Purchasing Commodity Data"
lots,"
      30 Results
      filtered by  ",30,"Off-Street parking lots and parking garages, Boiler Permits, 2011 Housing Inventory, Historic Secured Property Tax Rolls, Mobile Food Schedule, Mobile Food Facility Permit, 2012 Housing Inventory, Right of Way Exception Data, Plumbing Permits, Electrical Permits"
registered%20businesses,"
      5 Results
      filtered by  ",5,"Registered Business Locations - San Francisco, Parking Spaces at Off-street Parking Facilities, Expenditure Lobbyists Registration and Monthly Disclosure Reports, Form 700 Schedule C, Permit Consultant Registration and Quarterly Disclosure Reports"
retail,"
      1 Result
      filtered by  ",1,San Francisco Development Pipeline 2013 Quarter 3
tourism,"
      0 Results
      filtered by  ",0,
