,Text,Names
1862,,robert c levy
1863,,robert kirk
1864,,robinhood
1865,,robinson
1866,,rock
1867,,rockaway
1868,,rockdale
1869,,rockland
1870,,rockridge
1871,,rockwood
1872,,rod
1873,,rodgers
1874,,rodriguez
1875,,roemer
1876,,rolph
1877,,romain
1878,,rome
1879,,romolo
1880,,rondel
1881,,roosevelt
1882,,rosa parks
1883,,roscoe
1884,,rose
1885,,rosella
1886,,roselyn
1887,,rosemary
1888,,rosemont
1889,,rosenkranz
1890,,rosewood
1891,,rosie lee
1892,,ross
1893,,rossi
1894,,rossmoor
1895,,rotteck
1896,,rousseau
1897,,royal
1898,,ruckman
1899,,rudden
1900,,ruger
1901,,russ
1902,,russell
1903,,russia
1904,,russian hill
1905,,ruth
1906,,rutland
1907,,rutledge
1908,,sabin
1909,,sacramento
1910,,saddleback
1911,,sadowa
1912,,safira
1913,,sagamore
1914,,saint charles
1915,,saint croix
1916,,saint elmo
1917,,saint francis
1918,,saint george
1919,,saint germain
1920,,saint josephs
1921,,saint louis
1922,,saint marys
1923,,sal
1924,,sala
1925,,salinas
1926,,salmon
1927,,samoset
1928,,sampson
1929,,san aleso
1930,,san andreas
1931,,san anselmo
1932,,san antonio
1933,,san benito
1934,,san bruno
1935,,san bruno av off
1936,,san bruno av on
1937,,san buenaventura
1938,,san carlos
1939,,san diego
1940,,san felipe
1941,,san fernando
1942,,san gabriel
1943,,san jacinto
1944,,san jose
1945,,san jose av off
1946,,san jose av on
1947,,san juan
1948,,san leandro
1949,,san lorenzo
1950,,san luis
1951,,san marcos
1952,,san miguel
1953,,san pablo
1954,,san rafael
1955,,san ramon
1956,,sanches
1957,,sanchez
1958,,sandpiper cove
1959,,sansome
1960,,santa ana
1961,,santa barbara
1962,,santa clara
1963,,santa cruz
1964,,santa fe
1965,,santa marina
1966,,santa monica
1967,,santa paula
1968,,santa rita
1969,,santa rosa
1970,,santa ynez
1971,,santa ysabel
1972,,santiago
1973,,santos
1974,,sargent
1975,,saroyan
1976,,saturn
1977,,saul
1978,,sawyer
1979,,scenic
1980,,schofield
1981,,school
1982,,schwerin
1983,,science
1984,,scotia
1985,,scotland
1986,,scott
1987,,sea view
1988,,seacliff
1989,,seal cove
1990,,seal rock
1991,,sears
1992,,seawell
1993,,second
1994,,security pacific
1995,,selby
1996,,selma
1997,,seminole
1998,,seneca
1999,,sequoia
2000,,sergeant john v young
2001,,serrano
2002,,service
2003,,severn
2004,,seville
2005,,seward
2006,,seymour
2007,,sfgh access
2008,,shafter
2009,,shakespeare
2010,,shannon
2011,,sharon
2012,,sharp
2013,,shaw
2014,,shawnee
2015,,sheldon
2016,,shephard
2017,,sheridan
2018,,sherman
2019,,sherwood
2020,,shields
2021,,ship
2022,,shipley
2023,,shore view
2024,,short
2025,,shotwell
2026,,shoup
2027,,shrader
2028,,sibert
2029,,sibley
2030,,sickles
2031,,sierra
2032,,signal
2033,,silliman
2034,,silver
2035,,silverview
2036,,simonds
2037,,sixth
2038,,skyline
2039,,skyview
2040,,sloan
2041,,sloat
2042,,smith
2043,,sola
2044,,somerset
2045,,sonoma
2046,,sonora
2047,,sotelo
2048,,soule
2049,,south
2050,,south gate
2051,,south hill
2052,,south hughes
2053,,south park
2054,,south van horn
2055,,south van ness
2056,,southard
2057,,southern heights
2058,,southwood
2059,,sparrow
2060,,sparta
2061,,spear
2062,,spencer
2063,,spofford
2064,,spreckels lake
2065,,spring
2066,,springfield
2067,,sproule
2068,,spruce
2069,,standish
2070,,stanford
2071,,stanford heights
2072,,stanley
2073,,stanton
2074,,stanyan
2075,,staples
2076,,stark
2077,,starr king
2078,,starview
2079,,state
2080,,states
2081,,steiner
2082,,sterling
2083,,stern grove
2084,,sternberg
2085,,steuart
2086,,steuben
2087,,steveloe
2088,,stevenson
2089,,still
2090,,stillings
2091,,stillman
2092,,stilwell
2093,,stockton
2094,,stone
2095,,stonecrest
2096,,stoneman
2097,,stoneridge
2098,,stoneybrook
2099,,stoneyford
2100,,storey
2101,,storrie
2102,,stow lake
2103,,stratford
2104,,striped bass
2105,,sturgeon
2106,,summit
2107,,sumner
2108,,sunbeam
2109,,sunglow
2110,,sunnydale
2111,,sunnyside
2112,,sunrise
2113,,sunset
2114,,sunset blvd off
2115,,sunset blvd on
2116,,sunview
2117,,surrey
2118,,sussex
2119,,sutro heights
2120,,sutter
2121,,sweeny
2122,,swiss
2123,,sycamore
2124,,sydney
2125,,sylvan
2126,,taber
2127,,tacoma
2128,,talbert
2129,,tamalpais
2130,,tampa
2131,,tandang sora
2132,,tapia
2133,,tara
2134,,taraval
2135,,taylor
2136,,teddy
2137,,tehama
2138,,telegraph
2139,,telegraph hill
2140,,temescal
2141,,temple
2142,,tennessee
2143,,tenny
2144,,teresita
2145,,terra vista
2146,,terrace
2147,,terry a francois
2148,,tevis
2149,,texas
2150,,the embarcadero
2151,,theresa
2152,,thomas
2153,,thomas mellon
2154,,thomas more
2155,,thor
2156,,thornburg
2157,,thorne
2158,,thornton
2159,,thorp
2160,,thrift
2161,,tiffany
2162,,tillman
2163,,timothy pflueger
2164,,tingley
2165,,tioga
2166,,tocoloma
2167,,todd
2168,,toland
2169,,toledo
2170,,toll plaza tunnel
2171,,tomaso
2172,,tompkins
2173,,tonquin
2174,,topaz
2175,,topeka
2176,,torney
2177,,torrens
2178,,touchard
2179,,towerside
2180,,townsend
2181,,toyon
2182,,trader vic
2183,,trainor
2184,,transbay hump
2185,,transbay loop
2186,,transverse
2187,,treasure island
2188,,treasury
2189,,treat
2190,,trenton
2191,,trinity
2192,,troy
2193,,truby
2194,,truett
2195,,trumbull
2196,,tubbs
2197,,tucker
2198,,tulane
2199,,tulare
2200,,tulip
2201,,tunnel
2202,,turk
2203,,turk murphy
2204,,turner
2205,,turquoise
2206,,tuscany
2207,,twin peaks
2208,,ulloa
2209,,underwood
2210,,union
2211,,united nations
2212,,university
2300,,upland
2301,,upper
2302,,upper service
2303,,upton
2304,,uranus
2305,,urbano
2306,,utah
2307,,valdez
2308,,vale
2309,,valencia
2310,,valerton
2311,,vallejo
2312,,valletta
2313,,valley
2314,,valmar
2315,,valparaiso
2316,,van buren
2317,,van dyke
2318,,van keuren
2319,,van ness
2320,,vandewater
2321,,vara
2322,,varela
2323,,varennes
2324,,varney
2325,,vasquez
2326,,vassar
2327,,vega
2328,,velasco
2329,,venard
2330,,ventura
2331,,venus
2332,,ver mehr
2333,,verdi
2334,,verdun
2335,,vermont
2336,,verna
2337,,vernon
2338,,vesta
2339,,veterans
2340,,via bufano
2341,,vicente
2342,,vicksburg
2343,,victoria
2344,,vidal
2345,,vienna
2346,,villa
2347,,vine
2348,,vinton
2349,,virgil
2350,,virginia
2351,,visitacion
2352,,vista
2353,,vista verde
2354,,vista view
2355,,von schmidt
2356,,vulcan
2357,,wabash
2358,,wagner
2359,,waithman
2360,,walbridge
2361,,waldo
2362,,walker
2363,,walkway
2364,,wall
2365,,wallace
2366,,wallen
2367,,waller
2368,,walnut
2369,,walter
2370,,walter u lum
2371,,waltham
2372,,wanda
2373,,ward
2374,,ware
2375,,warner
2376,,warren
2377,,washburn
2378,,washington
2379,,watchman
2380,,water
2381,,waterloo
2382,,waterville
2383,,watt
2384,,wattson
2385,,waverly
2386,,wawona
2387,,wayland
2388,,wayne
2389,,webb
2390,,webster
2391,,wedemeyer
2392,,weldon
2393,,welsh
2394,,wentworth
2395,,west
2396,,west broadway
2397,,west clay
2398,,west crystal cove
2399,,west halleck
2400,,west pacific
2401,,west point
2402,,west portal
2403,,west view
2404,,westbrook
2405,,western shore
2406,,westgate
2407,,westmoorland
2408,,weston
2409,,westside
2410,,westwood
2411,,wetmore
2412,,wheat
2413,,wheeler
2414,,whipple
2415,,white
2416,,whitecliff
2417,,whitfield
2418,,whiting
2419,,whitney
2420,,whitney young
2421,,whittier
2422,,wiese
2423,,wilde
2424,,wilder
2425,,wildwood
2426,,willard
2427,,williams
2428,,williar
2429,,willie b kennedy
2430,,willow
2431,,wills
2432,,wilmot
2433,,wilson
2434,,winding
2435,,windsor
2436,,winfield
2437,,winn
2438,,winston
2439,,winter
2440,,winthrop
2441,,wisconsin
2442,,wisser
2443,,wood
2444,,woodacre
2445,,woodhaven
2446,,woodland
2447,,woodside
2448,,woodward
2449,,wool
2450,,woolsey
2451,,worcester
2452,,worden
2453,,worth
2454,,wright
2455,,wyman
2456,,wyton
2457,,yacht
2458,,yale
2459,,yellow cab access road
2460,,yerba buena
2461,,yorba
2462,,york
2463,,yosemite
2464,,young
2465,,yukon
2466,,zampa
2467,,zanowitz
2468,,zeno
2469,,zircon
2470,,zoe
2471,,zoo
